"Titel"	"Opmerking"
"|ZIMA"	"bedrijfsnaam - JS"
"|SULI"	"bedrijfsnaam - JS"
"|REYNOLDS"	"bedrijfsnaam - JS"
"|SAVIN"	"bedrijfsnaam - JS"
"|RIEDEL"	"bedrijfsnaam - JS"
"|YUMUSAK"	"bedrijfsnaam - JS"
"|OTO"	"bedrijfsnaam - JS"
"|WAJDNER"	"bedrijfsnaam - JS"
"|KAYAR"	"bedrijfsnaam - JS"
"|SOLARIS"	"bedrijfsnaam - JS"
"|CEDE"	"bedrijfsnaam - JS"
"|LAMBERTZ"	"bedrijfsnaam - JS"
"|PASKAL"	"bedrijfsnaam - JS"
"|LASKA"	"bedrijfsnaam / achternaam die voorkomt op rechtspraak - JS"
"|DE ROSA"	"bedrijfsnaam / straatnaam - JS"
"|WOLFF"	"bedrijfsnaam en achternaam - JS"
"|LAMBERT"	"bedrijfsnaam en achternaam - JS"
"|FLORE"	"bedrijfsnaam en achternaam - JS"
"|OBST"	"bedrijfsnaam en afkorting - JS"
"|ERGEN"	"bedrijfsnaam en komt voor in een citaat. Geen verwijzing naar de EHRM uitspraak gevonden -JS"
